country,resort,name,year,month,date,lower,upper
Austria,Kuhtai,Kuhtai,2015,4,2015-04-01,32,58
Austria,Kuhtai,Kuhtai,2016,4,2016-04-01,33,36
Austria,Obergurgl,Obergurgl,2013,11,2013-11-01,38,83
Austria,Obergurgl,Obergurgl,2015,11,2015-11-01,1,30
Austria,Obergurgl,Obergurgl,2016,11,2016-11-01,2,27
Austria,Obergurgl,Obergurgl,2013,12,2013-12-01,52,132
Austria,Obergurgl,Obergurgl,2014,12,2014-12-01,29,105
Austria,Obergurgl,Obergurgl,2015,12,2015-12-01,0,60
Austria,Obergurgl,Obergurgl,2016,12,2016-12-01,7,47
Austria,Obergurgl,Obergurgl,2014,1,2014-01-01,72,174
Austria,Obergurgl,Obergurgl,2015,1,2015-01-01,44,145
Austria,Obergurgl,Obergurgl,2016,1,2016-01-01,18,123
Austria,Obergurgl,Obergurgl,2017,1,2017-01-01,14,73
Austria,Obergurgl,Obergurgl,2014,2,2014-02-01,79,177
Austria,Obergurgl,Obergurgl,2015,2,2015-02-01,60,205
Austria,Obergurgl,Obergurgl,2016,2,2016-02-01,26,170
Austria,Obergurgl,Obergurgl,2014,3,2014-03-01,60,140
Austria,Obergurgl,Obergurgl,2015,3,2015-03-01,32,173
Austria,Obergurgl,Obergurgl,2016,3,2016-03-01,33,191
Austria,Obergurgl,Obergurgl,2014,4,2014-04-01,30,123
Austria,Obergurgl,Obergurgl,2015,4,2015-04-01,20,114
Austria,Obergurgl,Obergurgl,2016,4,2016-04-01,14,94
Austria,Saalbach,Saalbach,2013,11,2013-11-01,4,8
Austria,Saalbach,Saalbach,2015,11,2015-11-01,0,2
Austria,Saalbach,Saalbach,2016,11,2016-11-01,5,13
Austria,Saalbach,Saalbach,2013,12,2013-12-01,25,61
Austria,Saalbach,Saalbach,2014,12,2014-12-01,25,70
Austria,Saalbach,Saalbach,2015,12,2015-12-01,6,27
Austria,Saalbach,Saalbach,2016,12,2016-12-01,28,48
Austria,Saalbach,Saalbach,2014,1,2014-01-01,21,69
Austria,Saalbach,Saalbach,2015,1,2015-01-01,43,83
Austria,Saalbach,Saalbach,2016,1,2016-01-01,41,87
Austria,Saalbach,Saalbach,2017,1,2017-01-01,37,62
Austria,Saalbach,Saalbach,2014,2,2014-02-01,30,86
Austria,Saalbach,Saalbach,2015,2,2015-02-01,69,118
Austria,Saalbach,Saalbach,2016,2,2016-02-01,45,80
Austria,Saalbach,Saalbach,2014,3,2014-03-01,21,70
Austria,Saalbach,Saalbach,2015,3,2015-03-01,47,112
Austria,Saalbach,Saalbach,2016,3,2016-03-01,47,79
Austria,Saalbach,Saalbach,2014,4,2014-04-01,5,22
Austria,Saalbach,Saalbach,2015,4,2015-04-01,12,37
Austria,Saalbach,Saalbach,2016,4,2016-04-01,6,13
Austria,Neustift,Neustift,2013,11,2013-11-01,18,131
Austria,Neustift,Neustift,2015,11,2015-11-01,10,83
Austria,Neustift,Neustift,2016,11,2016-11-01,11,94
Austria,Neustift,Neustift,2013,12,2013-12-01,22,167
Austria,Neustift,Neustift,2014,12,2014-12-01,20,160
Austria,Neustift,Neustift,2015,12,2015-12-01,15,100
Austria,Neustift,Neustift,2016,12,2016-12-01,5,90
Austria,Neustift,Neustift,2014,1,2014-01-01,33,216
Austria,Neustift,Neustift,2015,1,2015-01-01,24,180
Austria,Neustift,Neustift,2016,1,2016-01-01,22,124
Austria,Neustift,Neustift,2017,1,2017-01-01,10,100
Austria,Neustift,Neustift,2014,2,2014-02-01,38,298
Austria,Neustift,Neustift,2015,2,2015-02-01,31,202
Austria,Neustift,Neustift,2016,2,2016-02-01,28,187
Austria,Neustift,Neustift,2014,3,2014-03-01,47,335
Austria,Neustift,Neustift,2015,3,2015-03-01,28,210
Austria,Neustift,Neustift,2016,3,2016-03-01,55,245
Austria,Neustift,Neustift,2014,4,2014-04-01,17,356
Austria,Neustift,Neustift,2015,4,2015-04-01,15,254
Austria,Neustift,Neustift,2016,4,2016-04-01,9,256
Austria,Bad-Hofgastein,Bad Hofgastein,2013,11,2013-11-01,0,0
